Do_dai_L,Iterations,Restarts,Repeats,TB_Ti_le_dung_pct,Max_Ti_le_dung_pct,Min_Ti_le_dung_pct,TB_Thoi_gian_s
100,1000,5,5,5.8,7.0,4.0,0.665
100,3000,5,5,6.0,9.0,4.0,2.816
100,5000,5,5,6.8,11.0,3.0,4.382
100,10000,5,5,4.6,7.0,0.0,12.956
100,20000,5,5,7.0,11.0,3.0,28.507
200,1000,5,5,5.4,7.0,4.0,2.973
200,3000,5,5,4.4,6.5,2.0,8.282
200,5000,5,5,5.7,6.5,4.5,11.242
200,10000,5,5,6.5,8.5,5.5,21.38
200,20000,5,5,4.9,6.5,3.5,32.864
500,1000,5,5,4.36,4.8,3.4,6.229
500,3000,5,5,5.68,6.2,5.0,18.507
500,5000,5,5,4.44,5.6,2.4,23.416
500,10000,5,5,4.64,5.6,3.6,39.448
500,20000,5,5,4.8,5.6,4.2,62.039
1000,1000,5,5,5.36,7.1,4.5,10.96
1000,3000,5,5,5.52,6.5,4.5,23.577
1000,5000,5,5,5.06,5.7,4.3,31.617
1000,10000,5,5,5.08,6.1,4.4,57.031001000,20000,5,5,5.62,6.9,5.1,90.048
