Text_Length,Key_Length,IC_Accuracy_Pct,Key_Recovery_Pct,Text_Accuracy_Pct,Avg_Time_Ms
50,2,60.0,60.0,71.4,4.42
50,3,52.0,52.0,65.4,6.44
50,4,20.0,12.0,31.7,5.07
50,5,36.0,16.0,45.7,11.81
50,6,20.0,8.0,34.2,22.34
50,7,44.0,0.0,33.5,71.3
50,8,12.0,4.0,23.8,40.01
50,9,16.0,0.0,15.2,23.89
50,10,12.0,0.0,18.5,48.69
100,2,52.0,52.0,74.0,5.15
100,3,52.0,52.0,69.3,5.58
100,4,48.0,48.0,67.6,75.32
100,5,76.0,68.0,77.8,25.45
100,6,28.0,12.0,49.6,615.57
100,7,72.0,40.0,66.5,2134.88
100,8,36.0,20.0,52.9,260.38
100,9,48.0,8.0,47.0,1708.08
100,10,16.0,4.0,36.5,37.63
500,2,40.0,40.0,72.0,12.77
500,3,92.0,92.0,97.3,20.0
500,4,44.0,44.0,72.0,26.71
500,5,96.0,96.0,97.6,101.94
500,6,24.0,24.0,61.3,23.95
500,7,100.0,100.0,100.0,60.71
500,8,48.0,48.0,75.5,71.7
500,9,80.0,76.0,88.0,186.85
500,10,24.0,24.0,64.0,207.9
1000,2,48.0,48.0,76.0,30.27
1000,3,92.0,92.0,97.3,50.74
1000,4,28.0,28.0,65.0,47.13
1000,5,100.0,100.0,100.0,357.54
1000,6,28.0,28.0,65.3,77.25
1000,7,100.0,100.0,100.0,155.83
1000,8,44.0,44.0,73.0,195.95
1000,9,88.0,88.0,93.8,439.56
1000,10,32.0,32.0,68.0,479.49
