Do dai L,Key length,Lap N,TB thoi gian (ms),Ti le key dung (%),Do chinh xac VB (%)
50,2,5,1.66,60.0,80.0
50,4,5,1.65,0.0,45.6
50,6,5,2.17,0.0,14.0
50,8,5,2.37,0.0,17.2
50,10,5,3.03,0.0,30.8
100,2,5,1.74,40.0,70.0
100,4,5,2.2,80.0,95.0
100,6,5,2.66,0.0,57.4
100,8,5,3.93,0.0,16.6
100,10,5,3.27,0.0,52.0
500,2,5,6.15,0.0,50.0
500,4,5,7.65,0.0,50.0
500,6,5,7.68,0.0,50.1
500,8,5,8.3,20.0,65.0
500,10,5,8.26,40.0,76.0
1000,2,5,11.83,40.0,70.0
1000,4,5,12.67,40.0,70.0
1000,6,5,15.82,0.0,53.3
1000,8,5,13.1,0.0,52.5
1000,10,5,16.96,0.0,50.0
